split,row_start,col_start,intersecting_tells,labelled_tells,partial_unlabelled_tells,hidden_positive_tile,saved_to_dataset
train,3456,768,1,0,1,True,False
train,3456,1152,2,1,1,False,True
train,3456,1536,1,1,0,False,True
train,3456,1920,4,4,0,False,True
train,3456,2304,3,3,0,False,True
train,3456,2688,3,3,0,False,True
train,3456,3072,5,5,0,False,True
train,3456,3456,3,2,1,False,True
train,3456,3840,4,3,1,False,True
train,3456,4224,2,1,1,False,True
train,3456,4608,5,5,0,False,True
train,3456,4992,1,1,0,False,True
train,3456,5376,1,1,0,False,True
train,3456,5548,2,2,0,False,False
train,3840,0,0,0,0,False,True
train,3840,384,0,0,0,False,True
train,3840,768,3,3,0,False,True
train,3840,1152,6,6,0,False,True
train,3840,1536,4,4,0,False,True
train,3840,1920,5,5,0,False,True
train,3840,2304,1,1,0,False,True
train,3840,2688,3,3,0,False,True
train,3840,3072,11,11,0,False,True
train,3840,3456,3,3,0,False,True
train,3840,3840,4,4,0,False,True
train,3840,4224,4,4,0,False,True
train,3840,4608,6,6,0,False,True
train,3840,4992,1,1,0,False,True
train,3840,5376,0,0,0,False,True
train,3840,5548,0,0,0,False,False
train,4224,0,1,1,0,False,True
train,4224,384,0,0,0,False,True
train,4224,768,5,5,0,False,True
train,4224,1152,3,3,0,False,True
train,4224,1536,1,1,0,False,True
train,4224,1920,6,6,0,False,True
train,4224,2304,3,3,0,False,True
train,4224,2688,3,3,0,False,True
train,4224,3072,2,2,0,False,True
train,4224,3456,4,4,0,False,True
train,4224,3840,9,9,0,False,True
train,4224,4224,6,6,0,False,True
train,4224,4608,5,5,0,False,True
train,4224,4992,3,3,0,False,True
train,4224,5376,2,2,0,False,True
train,4224,5548,2,1,1,False,False
train,4608,0,1,1,0,False,True
train,4608,384,1,1,0,False,True
train,4608,768,5,5,0,False,True
train,4608,1152,2,2,0,False,True
train,4608,1536,0,0,0,False,True
train,4608,1920,3,2,1,False,True
train,4608,2304,8,7,1,False,True
train,4608,2688,2,2,0,False,True
train,4608,3072,6,5,1,False,True
train,4608,3456,7,5,2,False,True
train,4608,3840,7,5,2,False,True
train,4608,4224,9,8,1,False,True
train,4608,4608,5,4,1,False,True
train,4608,4992,8,7,1,False,True
train,4608,5376,2,2,0,False,True
train,4608,5548,4,4,0,False,False
train,4992,0,0,0,0,False,True
train,4992,384,0,0,0,False,True
train,4992,768,1,1,0,False,True
train,4992,1152,1,1,0,False,True
train,4992,1536,0,0,0,False,True
train,4992,1920,1,1,0,False,True
train,4992,2304,6,6,0,False,True
train,4992,2688,6,6,0,False,True
train,4992,3072,7,7,0,False,True
train,4992,3456,8,8,0,False,True
train,4992,3840,7,7,0,False,True
train,4992,4224,6,5,1,False,True
train,4992,4608,10,8,2,False,True
train,4992,4992,12,11,1,False,True
train,4992,5376,6,3,3,False,True
train,4992,5548,4,2,2,False,False
train,5376,0,0,0,0,False,True
train,5376,384,1,0,1,True,False
train,5376,768,0,0,0,False,True
train,5376,1152,1,1,0,False,True
train,5376,1536,1,1,0,False,True
train,5376,1920,2,2,0,False,True
train,5376,2304,2,2,0,False,True
train,5376,2688,6,5,1,False,True
train,5376,3072,7,6,1,False,True
train,5376,3456,2,2,0,False,True
train,5376,3840,3,2,1,False,True
train,5376,4224,7,7,0,False,True
train,5376,4608,5,3,2,False,True
train,5376,4992,9,7,2,False,True
train,5376,5376,5,4,1,False,True
train,5376,5548,4,3,1,False,False
train,5760,0,1,1,0,False,True
train,5760,384,2,2,0,False,True
train,5760,768,1,1,0,False,True
train,5760,1152,2,2,0,False,True
train,5760,1536,1,1,0,False,True
train,5760,1920,3,3,0,False,True
train,5760,2304,3,1,2,False,True
train,5760,2688,3,2,1,False,True
train,5760,3072,6,6,0,False,True
train,5760,3456,4,4,0,False,True
train,5760,3840,1,1,0,False,True
train,5760,4224,1,1,0,False,True
train,5760,4608,1,1,0,False,True
train,5760,4992,4,4,0,False,True
train,5760,5376,4,3,1,False,True
train,5760,5548,3,3,0,False,False
train,6144,0,0,0,0,False,True
train,6144,384,0,0,0,False,True
train,6144,768,0,0,0,False,True
train,6144,1152,2,2,0,False,True
train,6144,1536,0,0,0,False,True
train,6144,1920,0,0,0,False,True
train,6144,2304,3,3,0,False,True
train,6144,2688,2,2,0,False,True
train,6144,3072,5,5,0,False,True
train,6144,3456,3,3,0,False,True
train,6144,3840,0,0,0,False,True
train,6144,4224,1,1,0,False,True
train,6144,4608,1,1,0,False,True
train,6144,4992,1,1,0,False,True
train,6144,5376,2,0,2,True,False
train,6144,5548,2,1,1,False,False
train,6528,0,2,1,1,False,True
train,6528,384,3,2,1,False,True
train,6528,768,1,1,0,False,True
train,6528,1152,2,2,0,False,True
train,6528,1536,5,4,1,False,True
train,6528,1920,3,3,0,False,True
train,6528,2304,0,0,0,False,True
train,6528,2688,0,0,0,False,True
train,6528,3072,1,0,1,True,False
train,6528,3456,2,2,0,False,True
train,6528,3840,5,5,0,False,True
train,6528,4224,4,4,0,False,True
train,6528,4608,3,2,1,False,True
train,6528,4992,3,3,0,False,True
train,6528,5376,3,2,1,False,True
train,6528,5548,4,2,2,False,False
train,6912,0,2,2,0,False,True
train,6912,384,3,3,0,False,True
train,6912,768,0,0,0,False,True
train,6912,1152,1,1,0,False,True
train,6912,1536,4,3,1,False,True
train,6912,1920,5,4,1,False,True
train,6912,2304,3,3,0,False,True
train,6912,2688,1,1,0,False,True
train,6912,3072,0,0,0,False,True
train,6912,3456,0,0,0,False,True
train,6912,3840,1,1,0,False,True
train,6912,4224,2,2,0,False,True
train,6912,4608,1,1,0,False,True
train,6912,4992,3,3,0,False,True
train,6912,5376,1,1,0,False,True
train,6912,5548,2,2,0,False,False
train,7296,0,0,0,0,False,True
train,7296,384,2,2,0,False,True
train,7296,768,2,2,0,False,True
train,7296,1152,4,4,0,False,True
train,7296,1536,2,2,0,False,True
train,7296,1920,2,1,1,False,True
train,7296,2304,8,7,1,False,True
train,7296,2688,6,4,2,False,True
train,7296,3072,5,4,1,False,True
train,7296,3456,0,0,0,False,True
train,7296,3840,0,0,0,False,True
train,7296,4224,3,3,0,False,True
train,7296,4608,5,5,0,False,True
train,7296,4992,7,6,1,False,True
train,7296,5376,0,0,0,False,True
train,7296,5548,0,0,0,False,False
train,7680,0,1,1,0,False,True
train,7680,384,0,0,0,False,True
train,7680,768,0,0,0,False,True
train,7680,1152,5,5,0,False,True
train,7680,1536,4,4,0,False,True
train,7680,1920,4,4,0,False,True
train,7680,2304,7,7,0,False,True
train,7680,2688,10,10,0,False,True
train,7680,3072,11,11,0,False,True
train,7680,3456,2,1,1,False,True
train,7680,3840,1,1,0,False,True
train,7680,4224,3,2,1,False,True
train,7680,4608,4,3,1,False,True
train,7680,4992,5,4,1,False,True
train,7680,5376,0,0,0,False,True
train,7680,5548,0,0,0,False,False
train,8064,0,1,1,0,False,True
train,8064,384,0,0,0,False,True
train,8064,768,0,0,0,False,True
train,8064,1152,4,4,0,False,True
train,8064,1536,1,1,0,False,True
train,8064,1920,3,1,2,False,True
train,8064,2304,2,1,1,False,True
train,8064,2688,3,3,0,False,True
train,8064,3072,8,8,0,False,True
train,8064,3456,7,7,0,False,True
train,8064,3840,1,1,0,False,True
train,8064,4224,2,2,0,False,True
train,8064,4608,3,2,1,False,True
train,8064,4992,0,0,0,False,True
train,8064,5376,2,1,1,False,True
train,8064,5548,3,2,1,False,False
train,8448,0,1,1,0,False,True
train,8448,384,0,0,0,False,True
train,8448,768,0,0,0,False,True
train,8448,1152,0,0,0,False,True
train,8448,1536,0,0,0,False,True
train,8448,1920,2,2,0,False,True
train,8448,2304,4,4,0,False,True
train,8448,2688,6,5,1,False,True
train,8448,3072,11,8,3,False,True
train,8448,3456,6,6,0,False,True
train,8448,3840,5,5,0,False,True
train,8448,4224,6,4,2,False,True
train,8448,4608,9,8,1,False,True
train,8448,4992,6,5,1,False,True
train,8448,5376,3,3,0,False,True
train,8448,5548,4,4,0,False,False
train,8832,0,3,3,0,False,True
train,8832,384,0,0,0,False,True
train,8832,768,1,1,0,False,True
train,8832,1152,1,0,1,True,False
train,8832,1536,0,0,0,False,True
train,8832,1920,1,1,0,False,True
train,8832,2304,4,4,0,False,True
train,8832,2688,6,6,0,False,True
train,8832,3072,4,4,0,False,True
train,8832,3456,2,2,0,False,True
train,8832,3840,9,9,0,False,True
train,8832,4224,6,5,1,False,True
train,8832,4608,7,6,1,False,True
train,8832,4992,6,4,2,False,True
train,8832,5376,0,0,0,False,True
train,8832,5548,2,2,0,False,False
train,9216,0,3,3,0,False,True
train,9216,384,3,3,0,False,True
train,9216,768,5,5,0,False,True
train,9216,1152,14,14,0,False,True
train,9216,1536,6,6,0,False,True
train,9216,1920,2,2,0,False,True
train,9216,2304,2,2,0,False,True
train,9216,2688,1,1,0,False,True
train,9216,3072,3,3,0,False,True
train,9216,3456,6,6,0,False,True
train,9216,3840,3,2,1,False,True
train,9216,4224,2,2,0,False,True
train,9216,4608,6,5,1,False,True
train,9216,4992,4,3,1,False,True
train,9216,5376,3,3,0,False,True
train,9216,5548,2,2,0,False,False
train,9600,0,0,0,0,False,True
train,9600,384,1,0,1,True,False
train,9600,768,0,0,0,False,True
train,9600,1152,8,8,0,False,True
train,9600,1536,9,9,0,False,True
train,9600,1920,3,3,0,False,True
train,9600,2304,6,6,0,False,True
train,9600,2688,5,4,1,False,True
train,9600,3072,2,2,0,False,True
train,9600,3456,8,7,1,False,True
train,9600,3840,5,5,0,False,True
train,9600,4224,2,2,0,False,True
train,9600,4608,5,5,0,False,True
train,9600,4992,5,5,0,False,True
train,9600,5376,2,1,1,False,True
train,9600,5548,2,1,1,False,False
train,9984,0,0,0,0,False,True
train,9984,384,1,1,0,False,True
train,9984,768,0,0,0,False,True
train,9984,1152,0,0,0,False,True
train,9984,1536,0,0,0,False,True
train,9984,1920,3,3,0,False,True
train,9984,2304,5,5,0,False,True
train,9984,2688,6,5,1,False,True
train,9984,3072,1,1,0,False,True
train,9984,3456,2,2,0,False,True
train,9984,3840,1,1,0,False,True
train,9984,4224,1,1,0,False,True
train,9984,4608,6,5,1,False,True
train,9984,4992,1,1,0,False,True
train,9984,5376,1,1,0,False,True
train,9984,5548,1,1,0,False,False
train,10368,0,0,0,0,False,True
train,10368,384,0,0,0,False,True
train,10368,768,0,0,0,False,True
train,10368,1152,0,0,0,False,True
train,10368,1536,0,0,0,False,True
train,10368,1920,0,0,0,False,True
train,10368,2304,1,1,0,False,True
train,10368,2688,2,2,0,False,True
train,10368,3072,3,2,1,False,True
train,10368,3456,1,0,1,True,False
train,10368,3840,0,0,0,False,True
train,10368,4224,0,0,0,False,True
train,10368,4608,7,6,1,False,True
train,10368,4992,4,3,1,False,True
train,10368,5376,1,0,1,True,False
train,10368,5548,1,0,1,True,False
train,10468,0,0,0,0,False,True
train,10468,384,0,0,0,False,True
train,10468,768,0,0,0,False,True
train,10468,1152,0,0,0,False,True
train,10468,1536,0,0,0,False,True
train,10468,1920,0,0,0,False,True
train,10468,2304,1,1,0,False,True
train,10468,2688,2,2,0,False,True
train,10468,3072,3,3,0,False,True
train,10468,3456,2,2,0,False,True
train,10468,3840,0,0,0,False,True
train,10468,4224,0,0,0,False,True
train,10468,4608,5,5,0,False,True
train,10468,4992,5,5,0,False,True
train,10468,5376,1,1,0,False,True
train,10468,5548,1,1,0,False,False
val,0,6060,1,1,0,False,True
val,0,6444,1,1,0,False,True
val,0,6828,0,0,0,False,True
val,0,6842,0,0,0,False,False
val,384,6060,0,0,0,False,True
val,384,6444,0,0,0,False,True
val,384,6828,0,0,0,False,True
val,384,6842,0,0,0,False,False
val,768,6060,0,0,0,False,True
val,768,6444,0,0,0,False,True
val,768,6828,1,1,0,False,True
val,768,6842,1,1,0,False,False
val,1152,6060,4,4,0,False,True
val,1152,6444,5,3,2,False,True
val,1152,6828,4,3,1,False,True
val,1152,6842,3,3,0,False,False
val,1536,6060,5,4,1,False,True
val,1536,6444,9,6,3,False,True
val,1536,6828,9,8,1,False,True
val,1536,6842,8,8,0,False,False
val,1920,6060,7,6,1,False,True
val,1920,6444,11,9,2,False,True
val,1920,6828,6,5,1,False,True
val,1920,6842,6,5,1,False,False
val,2304,6060,8,8,0,False,True
val,2304,6444,3,3,0,False,True
val,2304,6828,3,3,0,False,True
val,2304,6842,3,3,0,False,False
val,2688,6060,7,7,0,False,True
val,2688,6444,9,8,1,False,True
val,2688,6828,4,4,0,False,True
val,2688,6842,4,4,0,False,False
val,3072,6060,9,9,0,False,True
val,3072,6444,4,1,3,False,True
val,3072,6828,6,5,1,False,True
val,3072,6842,6,5,1,False,False
val,3456,6060,2,2,0,False,True
val,3456,6444,5,5,0,False,True
val,3456,6828,8,7,1,False,True
val,3456,6842,8,7,1,False,False
val,3840,6060,4,3,1,False,True
val,3840,6444,2,2,0,False,True
val,3840,6828,5,5,0,False,True
val,3840,6842,5,5,0,False,False
val,4224,6060,5,4,1,False,True
val,4224,6444,3,3,0,False,True
val,4224,6828,6,6,0,False,True
val,4224,6842,6,5,1,False,False
val,4608,6060,11,11,0,False,True
val,4608,6444,7,6,1,False,True
val,4608,6828,4,3,1,False,True
val,4608,6842,3,3,0,False,False
val,4992,6060,9,8,1,False,True
val,4992,6444,9,8,1,False,True
val,4992,6828,6,6,0,False,True
val,4992,6842,6,5,1,False,False
val,5376,6060,6,6,0,False,True
val,5376,6444,4,4,0,False,True
val,5376,6828,8,8,0,False,True
val,5376,6842,8,7,1,False,False
val,5760,6060,5,4,1,False,True
val,5760,6444,1,0,1,True,False
val,5760,6828,0,0,0,False,True
val,5760,6842,0,0,0,False,False
val,6144,6060,4,4,0,False,True
val,6144,6444,2,1,1,False,True
val,6144,6828,0,0,0,False,True
val,6144,6842,0,0,0,False,False
val,6528,6060,4,4,0,False,True
val,6528,6444,1,1,0,False,True
val,6528,6828,0,0,0,False,True
val,6528,6842,0,0,0,False,False
val,6912,6060,4,4,0,False,True
val,6912,6444,2,1,1,False,True
val,6912,6828,0,0,0,False,True
val,6912,6842,0,0,0,False,False
val,7296,6060,2,2,0,False,True
val,7296,6444,3,2,1,False,True
val,7296,6828,0,0,0,False,True
val,7296,6842,0,0,0,False,False
val,7680,6060,2,2,0,False,True
val,7680,6444,1,1,0,False,True
val,7680,6828,0,0,0,False,True
val,7680,6842,0,0,0,False,False
val,8064,6060,0,0,0,False,True
val,8064,6444,2,2,0,False,True
val,8064,6828,2,2,0,False,True
val,8064,6842,2,2,0,False,False
val,8448,6060,2,2,0,False,True
val,8448,6444,0,0,0,False,True
val,8448,6828,3,3,0,False,True
val,8448,6842,3,3,0,False,False
val,8832,6060,0,0,0,False,True
val,8832,6444,0,0,0,False,True
val,8832,6828,2,1,1,False,True
val,8832,6842,2,1,1,False,False
val,9216,6060,4,4,0,False,True
val,9216,6444,4,4,0,False,True
val,9216,6828,1,1,0,False,True
val,9216,6842,1,1,0,False,False
val,9600,6060,4,4,0,False,True
val,9600,6444,3,3,0,False,True
val,9600,6828,4,4,0,False,True
val,9600,6842,4,4,0,False,False
val,9984,6060,2,1,1,False,True
val,9984,6444,4,4,0,False,True
val,9984,6828,3,3,0,False,True
val,9984,6842,3,3,0,False,False
val,10368,6060,2,1,1,False,True
val,10368,6444,2,1,1,False,True
val,10368,6828,6,6,0,False,True
val,10368,6842,6,6,0,False,False
val,10468,6060,1,1,0,False,True
val,10468,6444,1,1,0,False,True
val,10468,6828,6,6,0,False,True
val,10468,6842,6,6,0,False,False
test,0,7354,0,0,0,False,True
test,0,7738,0,0,0,False,True
test,0,8122,0,0,0,False,True
test,0,8506,2,1,1,False,True
test,0,8890,1,1,0,False,True
test,0,9274,1,1,0,False,True
test,0,9658,1,1,0,False,True
test,0,10042,0,0,0,False,True
test,0,10426,0,0,0,False,True
test,0,10470,0,0,0,False,True
test,384,7354,0,0,0,False,True
test,384,7738,2,1,1,False,True
test,384,8122,3,3,0,False,True
test,384,8506,3,2,1,False,True
test,384,8890,1,1,0,False,True
test,384,9274,1,1,0,False,True
test,384,9658,3,3,0,False,True
test,384,10042,0,0,0,False,True
test,384,10426,1,1,0,False,True
test,384,10470,1,1,0,False,True
test,768,7354,0,0,0,False,True
test,768,7738,1,1,0,False,True
test,768,8122,2,2,0,False,True
test,768,8506,5,5,0,False,True
test,768,8890,2,2,0,False,True
test,768,9274,4,4,0,False,True
test,768,9658,1,1,0,False,True
test,768,10042,0,0,0,False,True
test,768,10426,1,1,0,False,True
test,768,10470,1,1,0,False,True
test,1152,7354,1,1,0,False,True
test,1152,7738,1,1,0,False,True
test,1152,8122,0,0,0,False,True
test,1152,8506,1,0,1,True,False
test,1152,8890,2,1,1,False,True
test,1152,9274,3,2,1,False,True
test,1152,9658,0,0,0,False,True
test,1152,10042,0,0,0,False,True
test,1152,10426,0,0,0,False,True
test,1152,10470,0,0,0,False,True
test,1536,7354,1,1,0,False,True
test,1536,7738,0,0,0,False,True
test,1536,8122,0,0,0,False,True
test,1536,8506,0,0,0,False,True
test,1536,8890,0,0,0,False,True
test,1536,9274,0,0,0,False,True
test,1536,9658,0,0,0,False,True
test,1536,10042,0,0,0,False,True
test,1536,10426,0,0,0,False,True
test,1536,10470,0,0,0,False,True
test,1920,7354,1,1,0,False,True
test,1920,7738,0,0,0,False,True
test,1920,8122,0,0,0,False,True
test,1920,8506,0,0,0,False,True
test,1920,8890,0,0,0,False,True
test,1920,9274,0,0,0,False,True
test,1920,9658,0,0,0,False,True
test,1920,10042,1,1,0,False,True
test,1920,10426,0,0,0,False,True
test,1920,10470,0,0,0,False,True
test,2304,7354,2,2,0,False,True
test,2304,7738,0,0,0,False,True
test,2304,8122,0,0,0,False,True
test,2304,8506,0,0,0,False,True
test,2304,8890,0,0,0,False,True
test,2304,9274,0,0,0,False,True
test,2304,9658,0,0,0,False,True
test,2304,10042,2,2,0,False,True
test,2304,10426,1,1,0,False,True
test,2304,10470,1,1,0,False,True
test,2688,7354,0,0,0,False,True
test,2688,7738,0,0,0,False,True
test,2688,8122,0,0,0,False,True
test,2688,8506,0,0,0,False,True
test,2688,8890,0,0,0,False,True
test,2688,9274,0,0,0,False,True
test,2688,9658,0,0,0,False,True
test,2688,10042,0,0,0,False,True
test,2688,10426,0,0,0,False,True
test,2688,10470,0,0,0,False,True
test,3072,7354,1,1,0,False,True
test,3072,7738,1,1,0,False,True
test,3072,8122,0,0,0,False,True
test,3072,8506,0,0,0,False,True
test,3072,8890,0,0,0,False,True
test,3072,9274,0,0,0,False,True
test,3072,9658,0,0,0,False,True
test,3072,10042,0,0,0,False,True
test,3072,10426,0,0,0,False,True
test,3072,10470,0,0,0,False,True
test,3456,7354,7,7,0,False,True
test,3456,7738,1,1,0,False,True
test,3456,8122,0,0,0,False,True
test,3456,8506,0,0,0,False,True
test,3456,8890,0,0,0,False,True
test,3456,9274,0,0,0,False,True
test,3456,9658,0,0,0,False,True
test,3456,10042,0,0,0,False,True
test,3456,10426,0,0,0,False,True
test,3456,10470,0,0,0,False,True
test,3840,7354,4,4,0,False,True
test,3840,7738,0,0,0,False,True
test,3840,8122,1,1,0,False,True
test,3840,8506,1,1,0,False,True
test,3840,8890,0,0,0,False,True
test,3840,9274,0,0,0,False,True
test,3840,9658,0,0,0,False,True
test,3840,10042,0,0,0,False,True
test,3840,10426,0,0,0,False,True
test,3840,10470,0,0,0,False,True
test,4224,7354,6,6,0,False,True
test,4224,7738,1,1,0,False,True
test,4224,8122,0,0,0,False,True
test,4224,8506,0,0,0,False,True
test,4224,8890,0,0,0,False,True
test,4224,9274,0,0,0,False,True
test,4224,9658,0,0,0,False,True
test,4224,10042,0,0,0,False,True
test,4224,10426,0,0,0,False,True
test,4224,10470,0,0,0,False,True
test,4608,7354,3,2,1,False,True
test,4608,7738,0,0,0,False,True
test,4608,8122,0,0,0,False,True
test,4608,8506,1,1,0,False,True
test,4608,8890,0,0,0,False,True
test,4608,9274,0,0,0,False,True
test,4608,9658,0,0,0,False,True
test,4608,10042,0,0,0,False,True
test,4608,10426,0,0,0,False,True
test,4608,10470,0,0,0,False,True
test,4992,7354,7,7,0,False,True
test,4992,7738,3,2,1,False,True
test,4992,8122,0,0,0,False,True
test,4992,8506,0,0,0,False,True
test,4992,8890,0,0,0,False,True
test,4992,9274,0,0,0,False,True
test,4992,9658,0,0,0,False,True
test,4992,10042,0,0,0,False,True
test,4992,10426,1,1,0,False,True
test,4992,10470,1,1,0,False,True
test,5376,7354,9,9,0,False,True
test,5376,7738,6,5,1,False,True
test,5376,8122,0,0,0,False,True
test,5376,8506,0,0,0,False,True
test,5376,8890,0,0,0,False,True
test,5376,9274,0,0,0,False,True
test,5376,9658,0,0,0,False,True
test,5376,10042,0,0,0,False,True
test,5376,10426,0,0,0,False,True
test,5376,10470,0,0,0,False,True
test,5760,7354,1,1,0,False,True
test,5760,7738,2,2,0,False,True
test,5760,8122,0,0,0,False,True
test,5760,8506,0,0,0,False,True
test,5760,8890,0,0,0,False,True
test,5760,9274,0,0,0,False,True
test,5760,9658,0,0,0,False,True
test,5760,10042,0,0,0,False,True
test,5760,10426,0,0,0,False,True
test,5760,10470,0,0,0,False,True
test,6144,7354,0,0,0,False,True
test,6144,7738,1,1,0,False,True
test,6144,8122,0,0,0,False,True
test,6144,8506,0,0,0,False,True
test,6144,8890,0,0,0,False,True
test,6144,9274,0,0,0,False,True
test,6144,9658,0,0,0,False,True
test,6144,10042,0,0,0,False,True
test,6144,10426,0,0,0,False,True
test,6144,10470,0,0,0,False,True
test,6528,7354,1,1,0,False,True
test,6528,7738,2,1,1,False,True
test,6528,8122,0,0,0,False,True
test,6528,8506,0,0,0,False,True
test,6528,8890,0,0,0,False,True
test,6528,9274,0,0,0,False,True
test,6528,9658,0,0,0,False,True
test,6528,10042,0,0,0,False,True
test,6528,10426,0,0,0,False,True
test,6528,10470,0,0,0,False,True
test,6912,7354,2,2,0,False,True
test,6912,7738,4,3,1,False,True
test,6912,8122,2,2,0,False,True
test,6912,8506,3,3,0,False,True
test,6912,8890,6,6,0,False,True
test,6912,9274,0,0,0,False,True
test,6912,9658,0,0,0,False,True
test,6912,10042,0,0,0,False,True
test,6912,10426,0,0,0,False,True
test,6912,10470,0,0,0,False,True
test,7296,7354,3,3,0,False,True
test,7296,7738,5,3,2,False,True
test,7296,8122,2,2,0,False,True
test,7296,8506,1,0,1,True,False
test,7296,8890,1,1,0,False,True
test,7296,9274,5,5,0,False,True
test,7296,9658,0,0,0,False,True
test,7296,10042,0,0,0,False,True
test,7296,10426,1,1,0,False,True
test,7296,10470,1,1,0,False,True
test,7680,7354,0,0,0,False,True
